timestamp,node_id,temperature,luminosity,pressure
1776012342.562994,m3-10,30.1,0.4883,998.3738
1776012342.565183,m3-11,29.9438,0.7324,999.0527
1776012342.56814,m3-12,30.0958,0.4883,998.1506
1776012342.570085,m3-13,28.8292,0.4883,999.2073
1776012342.571014,m3-14,30.0,0.4883,997.8311
1776012347.351841,m3-12,30.0958,0.2441,998.1941
1776012347.353714,m3-13,28.8292,0.2441,999.2651
1776012347.354601,m3-14,30.0,0.2441,997.8018
1776012347.362633,m3-10,30.1,0.2441,998.2454
1776012347.364869,m3-11,29.9438,0.4883,999.1604
1776012352.354388,m3-10,30.0771,0.4883,998.4846
1776012352.356653,m3-11,29.9604,0.7324,998.9651
1776012352.359255,m3-12,30.1146,0.4883,998.1821
1776012352.361363,m3-13,28.8583,0.4883,999.2832
1776012352.362194,m3-14,29.9729,0.4883,997.7524
1776012357.361982,m3-10,30.1479,0.2441,998.4441
1776012357.364354,m3-11,29.9375,0.4883,999.0078
1776012357.367026,m3-12,30.1229,0.2441,998.1772
1776012357.369053,m3-13,28.8479,0.2441,999.2153
1776012357.369997,m3-14,30.0,0.2441,997.8435
1776012362.360749,m3-13,28.8625,0.4883,999.2812
1776012362.36157,m3-14,30.0146,0.4883,997.812
1776012362.369358,m3-10,30.1271,0.4883,998.2256
1776012362.372069,m3-11,29.9458,0.7324,999.032
1776012362.374524,m3-12,30.1271,0.4883,998.0855
1776012367.363927,m3-11,29.9667,0.4883,999.0798
1776012367.366374,m3-12,30.1271,0.2441,998.0745
1776012367.368464,m3-13,28.8687,0.2441,999.2959
1776012367.369183,m3-14,29.9792,0.2441,997.8362
1776012367.377127,m3-10,30.1,0.2441,998.4067
1776012372.369027,m3-10,30.1542,0.4883,998.365
1776012372.371659,m3-11,29.9833,0.7324,999.0979
1776012372.374002,m3-12,30.1208,0.4883,998.1296
1776012372.376149,m3-13,28.8875,0.4883,999.2996
1776012372.376571,m3-14,30.0312,0.4883,997.7722
1776012377.368602,m3-14,30.0292,0.2441,997.9006
1776012377.376487,m3-10,30.1438,0.2441,998.4316
1776012377.379053,m3-11,29.9979,0.4883,999.0566
1776012377.381655,m3-12,30.1396,0.2441,998.0796
1776012377.383746,m3-13,28.8854,0.2441,999.3552
1776012382.373263,m3-12,30.1417,0.4883,998.1577
1776012382.375554,m3-13,28.9042,0.4883,999.3162
1776012382.375975,m3-14,30.0521,0.4883,997.8091
1776012382.38414,m3-10,30.1521,0.4883,998.2764
1776012382.386597,m3-11,29.9854,0.7324,999.0603
1776012387.375641,m3-10,30.1438,0.2441,998.3242
1776012387.378224,m3-11,30.0104,0.4883,999.1272
1776012387.380804,m3-12,30.1208,0.2441,998.1965
1776012387.383132,m3-13,28.9125,0.2441,999.272
1776012387.383555,m3-14,30.0229,0.2441,997.8953
1776012392.38323,m3-10,30.1896,0.4883,998.5417
1776012392.386222,m3-11,30.0167,0.7324,999.1502
1776012392.388566,m3-12,30.1438,0.4883,998.2498
1776012392.390705,m3-13,28.8813,0.4883,999.3157
1776012392.391129,m3-14,30.05,0.4883,997.8225
1776012397.380235,m3-12,30.1896,0.2441,998.1467
1776012397.382345,m3-13,28.9229,0.2441,999.3166
1776012397.382802,m3-14,30.0813,0.2441,997.8188
1776012397.390873,m3-10,30.2208,0.2441,998.5019
1776012397.393824,m3-11,30.0437,0.4883,998.9297
1776012402.385598,m3-11,29.9917,0.7324,999.0652
1776012402.38773,m3-12,30.1604,0.4883,998.2864
1776012402.390137,m3-13,28.9312,0.4883,999.2295
1776012402.390676,m3-14,30.0042,0.4883,997.9075
1776012402.398529,m3-10,30.2083,0.4883,998.5779
1776012407.390195,m3-10,30.2229,0.2441,998.429
1776012407.393026,m3-11,30.0312,0.4883,998.9756
1776012407.395381,m3-12,30.1938,0.2441,998.1228
1776012407.397901,m3-13,28.9271,0.2441,999.1711
1776012407.398349,m3-14,30.0688,0.2441,997.8511
1776012412.389622,m3-13,28.8854,0.4883,999.2439
1776012412.390156,m3-14,30.0542,0.4883,997.8123
1776012412.397706,m3-10,30.1854,0.4883,998.3533
1776012412.400789,m3-11,30.0063,0.7324,998.9995
1776012412.402805,m3-12,30.1646,0.4883,998.2014
1776012417.392561,m3-11,30.0354,0.4883,998.9766
1776012417.394596,m3-12,30.1604,0.2441,998.1101
1776012417.397201,m3-13,28.9333,0.2441,999.3433
1776012417.397622,m3-14,30.0646,0.2441,997.8845
1776012417.405412,m3-10,30.1833,0.2441,998.3879
1776012422.397066,m3-10,30.1938,0.4883,998.5281
1776012422.40015,m3-11,30.0104,0.7324,999.1196
1776012422.402213,m3-12,30.1833,0.4883,998.1997
1776012422.404727,m3-13,28.95,0.4883,999.3538
1776012422.405148,m3-14,30.0875,0.4883,997.8154
1776012427.404554,m3-10,30.2229,0.2441,998.3665
1776012427.407881,m3-11,30.0646,0.4883,998.9746
1776012427.409877,m3-12,30.2271,0.2441,998.1663
1776012427.412364,m3-13,28.9604,0.2441,999.3867
1776012427.412742,m3-14,30.05,0.2441,997.7798
1776012432.401623,m3-12,30.2146,0.4883,998.1709
1776012432.40431,m3-13,28.9625,0.4883,999.3462
1776012432.40469,m3-14,30.0688,0.4883,997.7869
1776012432.412283,m3-10,30.2042,0.4883,998.4512
1776012432.415416,m3-11,30.0312,0.7324,999.0454
1776012437.403951,m3-10,30.2312,0.2441,998.5173
1776012437.407226,m3-11,30.0396,0.4883,998.9878
1776012437.409169,m3-12,30.2167,0.2441,998.2512
1776012437.411922,m3-13,28.975,0.2441,999.2881
1776012437.412297,m3-14,30.0813,0.2441,997.7915
1776012442.411465,m3-10,30.2188,0.4883,998.3731
1776012442.414974,m3-11,30.0458,0.7324,999.2441
1776012442.416856,m3-12,30.2458,0.4883,998.1724
1776012442.419593,m3-13,28.9625,0.4883,999.3508
1776012442.419969,m3-14,30.0896,0.4883,997.7607
1776012447.411276,m3-13,28.975,0.2441,999.3176
1776012447.411713,m3-14,30.0604,0.2441,997.7773
1776012447.419065,m3-10,30.2333,0.2441,998.4971
1776012447.422605,m3-11,30.1,0.4883,998.9695
1776012447.424355,m3-12,30.2333,0.2441,998.1753
1776012452.414366,m3-11,30.0562,0.7324,999.1262
1776012452.416147,m3-12,30.2042,0.4883,998.1221
1776012452.418888,m3-13,28.975,0.4883,999.2676
1776012452.419265,m3-14,30.0875,0.4883,997.7642
1776012452.426774,m3-10,30.2437,0.4883,998.5696
1776012457.418396,m3-10,30.2667,0.2441,998.5298
1776012457.422021,m3-11,30.1042,0.4883,999.1345
1776012457.423617,m3-12,30.2271,0.2441,998.2165
1776012457.426399,m3-13,28.95,0.2441,999.3962
1776012457.426833,m3-14,30.075,0.2441,998.001
1776012462.418254,m3-14,30.1313,0.4883,997.989
1776012462.425955,m3-10,30.2688,0.4883,998.4438
1776012462.429718,m3-11,30.075,0.7324,999.188
1776012462.431059,m3-12,30.2354,0.4883,998.1455
1776012462.434116,m3-13,28.9958,0.4883,999.3228
1776012467.421471,m3-11,30.1271,0.4883,999.134
1776012467.422895,m3-12,30.2354,0.2441,998.147
1776012467.425899,m3-13,28.9812,0.2441,999.2954
1776012467.426301,m3-14,30.1604,0.2441,997.9002
1776012467.433593,m3-10,30.2563,0.2441,998.4446
1776012472.425287,m3-10,30.2646,0.4883,998.5601
1776012472.429139,m3-11,30.1187,0.7324,999.0586
1776012472.430573,m3-12,30.2312,0.4883,998.0244
1776012472.433475,m3-13,28.9812,0.4883,999.2468
1776012472.433847,m3-14,30.1417,0.4883,997.7898
1776012477.432951,m3-10,30.3021,0.2441,998.4893
1776012477.436791,m3-11,30.1271,0.4883,999.0938
1776012477.438173,m3-12,30.2688,0.2441,998.126
1776012477.441141,m3-13,28.9708,0.2441,999.2749
1776012477.441516,m3-14,30.1042,0.2441,997.8813
1776012482.43275,m3-13,28.9917,0.4883,999.3674
1776012482.4332,m3-14,30.1083,0.4883,997.8884
1776012482.440427,m3-10,30.2771,0.4883,998.3997
1776012482.444469,m3-11,30.1208,0.7324,999.1396
1776012482.445974,m3-12,30.2833,0.4883,998.27
1776012487.436208,m3-11,30.1271,0.4883,999.0454
1776012487.437546,m3-12,30.2812,0.2441,998.2644
1776012487.440444,m3-13,29.025,0.2441,999.2942
1776012487.44082,m3-14,30.1438,0.2441,997.8574
1776012487.448072,m3-10,30.2333,0.2441,998.3862
1776012492.439821,m3-10,30.2583,0.4883,998.4836
1776012492.443867,m3-11,30.1125,0.7324,999.1553
1776012492.445126,m3-12,30.3021,0.4883,998.0574
1776012492.447999,m3-13,28.9937,0.4883,999.342
1776012492.448371,m3-14,30.1479,0.4883,997.8904
1776012497.447224,m3-10,30.3,0.2441,998.5994
1776012497.451526,m3-11,30.1354,0.4883,998.9453
1776012497.452784,m3-12,30.2396,0.2441,998.0732
1776012497.455601,m3-14,30.1583,0.2441,997.9683
1776012497.456019,m3-13,29.0271,0.2441,999.3894
1776012502.447242,m3-14,30.1667,0.4883,997.9553
1776012502.447742,m3-13,29.0354,0.4883,999.4451
1776012502.454777,m3-10,30.3146,0.4883,998.4353
1776012502.459053,m3-11,30.0896,0.7324,999.1116
1776012502.460313,m3-12,30.2625,0.4883,998.1531
1776012507.450829,m3-11,30.15,0.4883,999.1038
1776012507.451816,m3-12,30.2812,0.2441,998.1997
1776012507.454776,m3-14,30.1771,0.2441,997.8787
1776012507.455189,m3-13,29.0354,0.2441,999.3149
1776012507.462459,m3-10,30.2667,0.2441,998.3992
1776012512.454288,m3-10,30.2688,0.4883,998.4011
1776012512.458573,m3-11,30.1354,0.7324,999.0442
1776012512.459278,m3-12,30.2958,0.4883,998.1006
1776012512.462531,m3-14,30.1958,0.4883,997.8865
1776012512.462953,m3-13,29.0167,0.4883,999.3733
1776012517.461842,m3-10,30.2979,0.2441,998.4351
1776012517.466205,m3-11,30.1292,0.4883,999.0535
1776012517.467028,m3-12,30.2625,0.2441,998.1418
