lifetime,mean_aoi,max_aoi,total_energy,tx_rate,pkt_success_rate,stale_ratio,final_battery,exp_id,variant,description,seed,wE
33.275,8.116878150360488,17.25,95.725,0.10539386628985103,0.53375,0.274428945334602,4.275,437885,Full TQ-IoT,All state features + Chebyshev scalarisation,0,0.5
31.925,8.90526914824837,18.025,96.625,0.10376006079535553,0.5454166666666667,0.33020618401705487,3.375,437885,Full TQ-IoT,All state features + Chebyshev scalarisation,1,0.5
27.75,7.501687840106823,16.0,95.425,0.1393456679754111,0.4641666666666667,0.2691168794305264,4.575,437885,Full TQ-IoT,All state features + Chebyshev scalarisation,2,0.5
43.05,12.855501041880165,20.0,97.075,0.05540283186445309,0.4458333333333333,0.605841787934686,2.925,437885,No volatility state,sensor_volatility masked to modal bin (1),0,0.5
31.95,7.999868989097299,15.9,94.675,0.10603711710497028,0.5816666666666667,0.3079243108261462,5.325,437885,No volatility state,sensor_volatility masked to modal bin (1),1,0.5
32.875,8.626182331317029,18.075,96.55,0.1107903574767799,0.4691666666666666,0.35080511112299906,3.45,437885,No volatility state,sensor_volatility masked to modal bin (1),2,0.5
33.275,8.116878150360488,17.25,95.725,0.10539386628985103,0.53375,0.274428945334602,4.275,437885,No channel state,channel state masked to modal bin (0); real channel still drives success probability,0,0.5
31.925,8.90526914824837,18.025,96.625,0.10376006079535553,0.5454166666666667,0.33020618401705487,3.375,437885,No channel state,channel state masked to modal bin (0); real channel still drives success probability,1,0.5
27.75,7.501687840106823,16.0,95.425,0.1393456679754111,0.4641666666666667,0.2691168794305264,4.575,437885,No channel state,channel state masked to modal bin (0); real channel still drives success probability,2,0.5
37.95,8.227230420762183,17.825,96.175,0.11612019563398564,0.5375,0.2963428472349334,3.825,437885,Weighted-sum scalarisation,Chebyshev replaced by weighted-sum action selection,0,0.5
35.35,7.273540629131278,14.875,96.15,0.15108205200224956,0.4894047619047619,0.24160437407562324,3.85,437885,Weighted-sum scalarisation,Chebyshev replaced by weighted-sum action selection,1,0.5
37.675,7.797357990981482,16.275,95.725,0.14171283934570023,0.4396428571428571,0.2677226116611415,4.275,437885,Weighted-sum scalarisation,Chebyshev replaced by weighted-sum action selection,2,0.5
