lifetime,mean_aoi,max_aoi,total_energy,tx_rate,pkt_success_rate,stale_ratio,final_battery,policy,exp_id
13.985,2.7221833915998,5.6850000000000005,96.24499999999999,0.6251130841767452,0.45341468253968253,0.0015384615384615385,3.7550000000000003,RL(wE=0.1),437885
22.675,4.740934367445851,10.325,95.335,0.26483147789813377,0.4890416666666667,0.055085113316331036,4.665000000000001,RL(wE=0.3),437885
32.910000000000004,8.29851034299715,16.91,96.265,0.11555208491030763,0.5222142857142857,0.2967691455920701,3.7350000000000003,RL(wE=0.5),437885
47.339999999999996,14.562750215624394,19.990000000000002,95.80499999999999,0.027561628544876517,0.5336805555555555,0.705435433644026,4.194999999999999,RL(wE=0.7),437885
84.35,17.91896834299277,20.0,95.38,0.0004805102763997166,0.375,0.8903776467590285,4.62,RL(wE=0.9),437885
100.0,18.29,20.0,100.0,0.0,,0.9099999999999999,0.0,always_sleep,437885
34.0,14.97058823529412,20.0,99.0,0.0,,0.7352941176470589,1.0,always_wait,437885
10.0,2.0819999999999994,4.175,100.0,1.0,0.449,0.0005,0.0,always_transmit,437885
24.0,6.519374999999999,13.65,100.0,0.16666666666666666,0.4725,0.18458333333333332,0.0,periodic_tx_5,437885
26.375,3.8742245352965745,7.859999999999999,96.9,0.3096036131996658,0.46283730158730163,0.007372598162071846,3.1000000000000005,aoi_thresh_5,437885
36.685,7.179326422695988,17.64,100.0,0.19445610206479774,0.46235119047619044,0.24931572100050362,0.0,energy_aware,437885
100.0,18.29,20.0,100.0,0.0,,0.9099999999999999,0.0,channel_aware,437885
33.175,9.342557127536711,17.205000000000002,99.42999999999999,0.08003038552494088,0.5554166666666667,0.3772577063740857,0.57,adaptive_thresh,437885
12.565000000000001,2.508271491172226,5.115,95.67999999999999,0.7236970758000169,0.45076190476190475,0.0045334249084249085,4.32,RL(wE=0.1),437864
23.104999999999997,4.837071221296593,10.290000000000001,95.68499999999999,0.25422366352061043,0.476452380952381,0.044059936463348014,4.315,RL(wE=0.3),437864
30.970000000000006,7.448271485396601,15.169999999999998,96.53,0.12872055789531597,0.5224761904761904,0.23138516267646966,3.47,RL(wE=0.5),437864
49.6,14.345777134853801,19.985,96.33,0.034464151967821696,0.549047619047619,0.6916885959531168,3.6700000000000004,RL(wE=0.7),437864
88.08000000000001,18.055366619943346,20.0,95.24,0.0,,0.8976508747338603,4.76,RL(wE=0.9),437864
100.0,18.29,20.0,100.0,0.0,,0.9099999999999999,0.0,always_sleep,437864
34.0,14.97058823529412,20.0,99.0,0.0,,0.7352941176470589,1.0,always_wait,437864
10.0,2.0819999999999994,4.175,100.0,1.0,0.449,0.0005,0.0,always_transmit,437864
24.0,6.519374999999999,13.65,100.0,0.16666666666666666,0.4725,0.18458333333333332,0.0,periodic_tx_5,437864
26.375,3.8742245352965745,7.859999999999999,96.9,0.3096036131996658,0.46283730158730163,0.007372598162071846,3.1000000000000005,aoi_thresh_5,437864
36.685,7.179326422695988,17.64,100.0,0.19445610206479774,0.46235119047619044,0.24931572100050362,0.0,energy_aware,437864
100.0,18.29,20.0,100.0,0.0,,0.9099999999999999,0.0,channel_aware,437864
33.175,9.342557127536711,17.205000000000002,99.42999999999999,0.08003038552494088,0.5554166666666667,0.3772577063740857,0.57,adaptive_thresh,437864
13.235,2.5743232515033987,5.220000000000001,96.475,0.6768110651603297,0.45198809523809524,0.003986471861471861,3.525,RL(wE=0.1),437035
23.669999999999998,4.898612580302656,10.584999999999999,95.88000000000001,0.24386834058741905,0.4867559523809524,0.05522808737770215,4.119999999999999,RL(wE=0.3),437035
30.869999999999997,7.595426603278679,15.315000000000001,96.43999999999998,0.13239198564855342,0.5046309523809523,0.24152276133836725,3.56,RL(wE=0.5),437035
45.915000000000006,14.668566906408884,19.884999999999998,96.135,0.026384882184882642,0.5558333333333334,0.7119407282367843,3.8649999999999998,RL(wE=0.7),437035
85.32,17.950868486948963,20.0,95.35999999999999,0.0,,0.892150972997314,4.640000000000001,RL(wE=0.9),437035
100.0,18.29,20.0,100.0,0.0,,0.9099999999999999,0.0,always_sleep,437035
34.0,14.97058823529412,20.0,99.0,0.0,,0.7352941176470589,1.0,always_wait,437035
10.0,2.0819999999999994,4.175,100.0,1.0,0.449,0.0005,0.0,always_transmit,437035
24.0,6.519374999999999,13.65,100.0,0.16666666666666666,0.4725,0.18458333333333332,0.0,periodic_tx_5,437035
26.375,3.8742245352965745,7.859999999999999,96.9,0.3096036131996658,0.46283730158730163,0.007372598162071846,3.1000000000000005,aoi_thresh_5,437035
36.685,7.179326422695988,17.64,100.0,0.19445610206479774,0.46235119047619044,0.24931572100050362,0.0,energy_aware,437035
100.0,18.29,20.0,100.0,0.0,,0.9099999999999999,0.0,channel_aware,437035
33.175,9.342557127536711,17.205000000000002,99.42999999999999,0.08003038552494088,0.5554166666666667,0.3772577063740857,0.57,adaptive_thresh,437035
