policy,method,wE,mean_aoi_mean,lifetime_mean,combined_tradeoff_cost_alpha_0_5
RL(wE=0.1),rl,0.1,2.6015927114251416,13.261666666666667,0.49790852620617027
RL(wE=0.3),rl,0.3,4.825539389681699,23.15,0.511579790868485
RL(wE=0.5),rl,0.5,7.78073614389081,31.583333333333332,0.555892695748158
RL(wE=0.7),rl,0.7,14.525698085629026,47.61833333333333,0.6748844469946069
RL(wE=0.9),rl,0.9,17.97506781662836,85.91666666666667,0.5685254093188614
adaptive_thresh,alternative,,9.34255712753671,33.175,0.5952306616342766
aoi_thresh_5,baseline,,3.874224535296575,26.375,0.46431604700583107
energy_aware,baseline,,7.179326422695988,36.684999999999995,0.5089972366330204
channel_aware,baseline,,18.29,100.0,0.5
periodic_tx_5,baseline,,6.519375,24.0,0.5591106415213338
always_transmit,baseline,,2.082,10.0,0.5
always_wait,baseline,,14.97058823529412,34.0,0.764266254379343
always_sleep,baseline,,18.29,100.0,0.5
