battery_state,aoi_state,channel_quality,action,action_code,Q_energy,Q_freshness
critical(0-5),fresh(≤1),poor,wait,1,0.0,-0.094
critical(0-5),fresh(≤1),medium,sleep,0,0.0,0.0
critical(0-5),fresh(≤1),good,sleep,0,0.0,0.0
critical(0-5),ok(2-4),poor,transmit,2,0.0,-0.4531
critical(0-5),ok(2-4),medium,sleep,0,0.0,0.0
critical(0-5),ok(2-4),good,sleep,0,0.0,0.0
critical(0-5),aging(5-8),poor,wait,1,0.0,-0.6757
critical(0-5),aging(5-8),medium,sleep,0,0.0,0.0
critical(0-5),aging(5-8),good,sleep,0,0.0,0.0
critical(0-5),stale(9-12),poor,sleep,0,0.0,-1.3436
critical(0-5),stale(9-12),medium,sleep,0,0.0,0.0
critical(0-5),stale(9-12),good,sleep,0,0.0,0.0
critical(0-5),old(>12),poor,sleep,0,0.0,0.0
critical(0-5),old(>12),medium,sleep,0,0.0,0.0
critical(0-5),old(>12),good,sleep,0,0.0,0.0
low(5-20),fresh(≤1),poor,wait,1,-1.1528,-0.4308
low(5-20),fresh(≤1),medium,sleep,0,0.0,0.0
low(5-20),fresh(≤1),good,sleep,0,0.0,0.0
low(5-20),ok(2-4),poor,sleep,0,-1.0162,-0.514
low(5-20),ok(2-4),medium,sleep,0,0.0,0.0
low(5-20),ok(2-4),good,sleep,0,0.0,0.0
low(5-20),aging(5-8),poor,sleep,0,-1.3205,-0.9194
low(5-20),aging(5-8),medium,sleep,0,0.0,0.0
low(5-20),aging(5-8),good,sleep,0,0.0,0.0
low(5-20),stale(9-12),poor,transmit,2,-1.5503,-1.7404
low(5-20),stale(9-12),medium,sleep,0,0.0,0.0
low(5-20),stale(9-12),good,sleep,0,0.0,0.0
low(5-20),old(>12),poor,sleep,0,0.0,0.0
low(5-20),old(>12),medium,sleep,0,0.0,0.0
low(5-20),old(>12),good,sleep,0,0.0,0.0
med-lo(20-40),fresh(≤1),poor,wait,1,-2.5213,-0.5467
med-lo(20-40),fresh(≤1),medium,sleep,0,0.0,0.0
med-lo(20-40),fresh(≤1),good,sleep,0,0.0,0.0
med-lo(20-40),ok(2-4),poor,sleep,0,-2.3855,-0.7528
med-lo(20-40),ok(2-4),medium,sleep,0,0.0,0.0
med-lo(20-40),ok(2-4),good,sleep,0,0.0,0.0
med-lo(20-40),aging(5-8),poor,transmit,2,-2.7204,-0.6695
med-lo(20-40),aging(5-8),medium,sleep,0,0.0,0.0
med-lo(20-40),aging(5-8),good,sleep,0,0.0,0.0
med-lo(20-40),stale(9-12),poor,transmit,2,-2.5187,-0.5851
med-lo(20-40),stale(9-12),medium,sleep,0,0.0,0.0
med-lo(20-40),stale(9-12),good,sleep,0,0.0,0.0
med-lo(20-40),old(>12),poor,sleep,0,0.0,0.0
med-lo(20-40),old(>12),medium,sleep,0,0.0,0.0
med-lo(20-40),old(>12),good,sleep,0,0.0,0.0
medium(40-60),fresh(≤1),poor,sleep,0,-3.8556,-0.7089
medium(40-60),fresh(≤1),medium,sleep,0,0.0,0.0
medium(40-60),fresh(≤1),good,sleep,0,0.0,0.0
medium(40-60),ok(2-4),poor,wait,1,-3.7081,-0.7782
medium(40-60),ok(2-4),medium,sleep,0,0.0,0.0
medium(40-60),ok(2-4),good,sleep,0,0.0,0.0
medium(40-60),aging(5-8),poor,wait,1,-3.7946,-1.2654
medium(40-60),aging(5-8),medium,sleep,0,0.0,0.0
medium(40-60),aging(5-8),good,sleep,0,0.0,0.0
medium(40-60),stale(9-12),poor,sleep,0,0.0,0.0
medium(40-60),stale(9-12),medium,sleep,0,0.0,0.0
medium(40-60),stale(9-12),good,sleep,0,0.0,0.0
medium(40-60),old(>12),poor,sleep,0,0.0,0.0
medium(40-60),old(>12),medium,sleep,0,0.0,0.0
medium(40-60),old(>12),good,sleep,0,0.0,0.0
med-hi(60-80),fresh(≤1),poor,transmit,2,-4.8457,-0.7544
med-hi(60-80),fresh(≤1),medium,sleep,0,0.0,0.0
med-hi(60-80),fresh(≤1),good,sleep,0,0.0,0.0
med-hi(60-80),ok(2-4),poor,wait,1,-4.901,-1.0798
med-hi(60-80),ok(2-4),medium,sleep,0,0.0,0.0
med-hi(60-80),ok(2-4),good,sleep,0,0.0,0.0
med-hi(60-80),aging(5-8),poor,transmit,2,-4.3862,-0.8952
med-hi(60-80),aging(5-8),medium,sleep,0,0.0,0.0
med-hi(60-80),aging(5-8),good,sleep,0,0.0,0.0
med-hi(60-80),stale(9-12),poor,sleep,0,0.0,0.0
med-hi(60-80),stale(9-12),medium,sleep,0,0.0,0.0
med-hi(60-80),stale(9-12),good,sleep,0,0.0,0.0
med-hi(60-80),old(>12),poor,sleep,0,0.0,0.0
med-hi(60-80),old(>12),medium,sleep,0,0.0,0.0
med-hi(60-80),old(>12),good,sleep,0,0.0,0.0
high(80-100),fresh(≤1),poor,wait,1,-6.0263,-0.8966
high(80-100),fresh(≤1),medium,sleep,0,0.0,0.0
high(80-100),fresh(≤1),good,sleep,0,0.0,0.0
high(80-100),ok(2-4),poor,sleep,0,-5.6701,-0.9882
high(80-100),ok(2-4),medium,sleep,0,0.0,0.0
high(80-100),ok(2-4),good,sleep,0,0.0,0.0
high(80-100),aging(5-8),poor,sleep,0,0.0,0.0
high(80-100),aging(5-8),medium,sleep,0,0.0,0.0
high(80-100),aging(5-8),good,sleep,0,0.0,0.0
high(80-100),stale(9-12),poor,sleep,0,0.0,0.0
high(80-100),stale(9-12),medium,sleep,0,0.0,0.0
high(80-100),stale(9-12),good,sleep,0,0.0,0.0
high(80-100),old(>12),poor,sleep,0,0.0,0.0
high(80-100),old(>12),medium,sleep,0,0.0,0.0
high(80-100),old(>12),good,sleep,0,0.0,0.0
