battery_state,aoi_state,channel_quality,action,action_code,Q_energy,Q_freshness,exp_id
crit(0-5),fresh(≤1),poor,sleep,0,0.0,0.0,437885
crit(0-5),fresh(≤1),medium,sleep,0,0.0,0.0,437885
crit(0-5),fresh(≤1),good,transmit,2,0.0,-0.2535,437885
crit(0-5),ok(2-4),poor,sleep,0,0.0,0.0,437885
crit(0-5),ok(2-4),medium,sleep,0,0.0,0.0,437885
crit(0-5),ok(2-4),good,transmit,2,0.0,-0.6272,437885
crit(0-5),aging(5-8),poor,sleep,0,0.0,0.0,437885
crit(0-5),aging(5-8),medium,sleep,0,0.0,0.0,437885
crit(0-5),aging(5-8),good,wait,1,-0.1492,-0.7534,437885
crit(0-5),stale(9-12),poor,sleep,0,0.0,0.0,437885
crit(0-5),stale(9-12),medium,sleep,0,0.0,0.0,437885
crit(0-5),stale(9-12),good,wait,1,-0.0927,-0.7918,437885
crit(0-5),old(>12),poor,sleep,0,0.0,0.0,437885
crit(0-5),old(>12),medium,sleep,0,0.0,0.0,437885
crit(0-5),old(>12),good,wait,1,-0.2371,-1.5456,437885
low(5-20),fresh(≤1),poor,sleep,0,0.0,0.0,437885
low(5-20),fresh(≤1),medium,sleep,0,0.0,0.0,437885
low(5-20),fresh(≤1),good,sleep,0,-0.5838,-0.4459,437885
low(5-20),ok(2-4),poor,sleep,0,0.0,0.0,437885
low(5-20),ok(2-4),medium,sleep,0,0.0,0.0,437885
low(5-20),ok(2-4),good,sleep,0,-0.7028,-0.5533,437885
low(5-20),aging(5-8),poor,sleep,0,0.0,0.0,437885
low(5-20),aging(5-8),medium,sleep,0,0.0,0.0,437885
low(5-20),aging(5-8),good,wait,1,-0.772,-0.7633,437885
low(5-20),stale(9-12),poor,sleep,0,0.0,0.0,437885
low(5-20),stale(9-12),medium,sleep,0,0.0,0.0,437885
low(5-20),stale(9-12),good,sleep,0,-0.7028,-0.9116,437885
low(5-20),old(>12),poor,sleep,0,0.0,0.0,437885
low(5-20),old(>12),medium,sleep,0,0.0,0.0,437885
low(5-20),old(>12),good,transmit,2,-1.0324,-0.4199,437885
med-lo(20-40),fresh(≤1),poor,sleep,0,0.0,0.0,437885
med-lo(20-40),fresh(≤1),medium,sleep,0,0.0,0.0,437885
med-lo(20-40),fresh(≤1),good,sleep,0,-1.1444,-0.4179,437885
med-lo(20-40),ok(2-4),poor,sleep,0,0.0,0.0,437885
med-lo(20-40),ok(2-4),medium,sleep,0,0.0,0.0,437885
med-lo(20-40),ok(2-4),good,sleep,0,-1.0644,-0.5057,437885
med-lo(20-40),aging(5-8),poor,sleep,0,0.0,0.0,437885
