Policy,Method,wE,Lifetime,Mean AoI,Peak AoI,Energy,TX Rate,Packet Success,Stale Ratio
RL(wE=0.1),rl,0.1,13.26 ± 1.25,2.60 ± 0.28,5.34 ± 0.69,96.1 ± 0.7,0.675 ± 0.088,0.452 ± 0.015,0.003 ± 0.006
RL(wE=0.3),rl,0.3,23.15 ± 1.85,4.83 ± 0.35,10.40 ± 0.91,95.6 ± 0.7,0.254 ± 0.031,0.484 ± 0.026,0.051 ± 0.026
RL(wE=0.5),rl,0.5,31.58 ± 2.39,7.78 ± 1.04,15.80 ± 1.99,96.4 ± 0.8,0.126 ± 0.022,0.516 ± 0.033,0.257 ± 0.081
RL(wE=0.7),rl,0.7,47.62 ± 5.13,14.53 ± 1.11,19.95 ± 0.15,96.1 ± 1.7,0.029 ± 0.012,0.546 ± 0.078,0.703 ± 0.063
RL(wE=0.9),rl,0.9,85.92 ± 8.60,17.98 ± 0.23,20.00 ± 0.00,95.3 ± 0.3,0.000 ± 0.000,0.375 ± 0.177,0.893 ± 0.012
adaptive_thresh,alternative,,33.17 ± 0.47,9.34 ± 0.17,17.20 ± 0.15,99.4 ± 0.1,0.080 ± 0.005,0.555 ± 0.030,0.377 ± 0.009
aoi_thresh_5,baseline,,26.38 ± 0.51,3.87 ± 0.07,7.86 ± 0.26,96.9 ± 0.3,0.310 ± 0.009,0.463 ± 0.021,0.007 ± 0.005
energy_aware,baseline,,36.68 ± 0.50,7.18 ± 0.35,17.64 ± 0.65,100.0 ± 0.0,0.194 ± 0.004,0.462 ± 0.027,0.249 ± 0.024
channel_aware,baseline,,100.00 ± 0.00,18.29 ± 0.00,20.00 ± 0.00,100.0 ± 0.0,0.000 ± 0.000,nan,0.910 ± 0.000
periodic_tx_5,baseline,,24.00 ± 0.00,6.52 ± 0.31,13.65 ± 0.48,100.0 ± 0.0,0.167 ± 0.000,0.473 ± 0.030,0.185 ± 0.025
always_transmit,baseline,,10.00 ± 0.00,2.08 ± 0.09,4.17 ± 0.24,100.0 ± 0.0,1.000 ± 0.000,0.449 ± 0.006,0.001 ± 0.001
always_wait,baseline,,34.00 ± 0.00,14.97 ± 0.00,20.00 ± 0.00,99.0 ± 0.0,0.000 ± 0.000,nan,0.735 ± 0.000
always_sleep,baseline,,100.00 ± 0.00,18.29 ± 0.00,20.00 ± 0.00,100.0 ± 0.0,0.000 ± 0.000,nan,0.910 ± 0.000
