node_id,step,time_s,temperature,luminosity,pressure,delta_v,mean_pwr_mw,action,action_label,aoi,energy_mj
m3-10,1,4.8,30.1,0.2441,998.2454,0,116.61,1,wait,2,0.56
m3-10,2,9.79,30.0771,0.4883,998.4846,0,116.21,1,wait,3,0.58
m3-10,3,14.8,30.1479,0.2441,998.4441,0,117.2,1,wait,4,0.587
m3-10,4,19.81,30.1271,0.4883,998.2256,0,116.18,1,wait,5,0.582
m3-10,5,24.81,30.1,0.2441,998.4067,0,117.03,1,wait,6,0.585
m3-10,6,29.81,30.1542,0.4883,998.365,0,116.24,1,wait,7,0.581
m3-10,7,34.81,30.1438,0.2441,998.4316,0,117.17,1,wait,8,0.586
m3-10,8,39.82,30.1521,0.4883,998.2764,0,116.22,1,wait,9,0.582
m3-10,9,44.81,30.1438,0.2441,998.3242,0,117.16,1,wait,10,0.585
m3-10,10,49.82,30.1896,0.4883,998.5417,0,116.12,1,wait,11,0.582
m3-10,11,54.83,30.2208,0.2441,998.5019,0,117.22,1,wait,12,0.587
m3-10,12,59.84,30.2083,0.4883,998.5779,0,116.1,1,wait,13,0.582
m3-10,13,64.83,30.2229,0.2441,998.429,0,117.15,1,wait,14,0.585
m3-10,14,69.83,30.1854,0.4883,998.3533,0,116.17,1,wait,15,0.581
m3-10,15,74.84,30.1833,0.2441,998.3879,0,117.14,1,wait,16,0.587
m3-10,16,79.83,30.1938,0.4883,998.5281,0,116.29,1,wait,17,0.58
m3-10,17,84.84,30.2229,0.2441,998.3665,0,117.13,1,wait,18,0.587
m3-10,18,89.85,30.2042,0.4883,998.4512,0,116.23,1,wait,19,0.582
m3-10,19,94.84,30.2312,0.2441,998.5173,0,116.91,1,wait,20,0.583
m3-10,20,99.85,30.2188,0.4883,998.3731,0,116.27,1,wait,20,0.583
m3-10,21,104.86,30.2333,0.2441,998.4971,0,116.91,1,wait,20,0.586
m3-10,22,109.86,30.2438,0.4883,998.5696,0,116.45,1,wait,20,0.582
m3-10,23,114.86,30.2667,0.2441,998.5298,0,116.94,1,wait,20,0.585
m3-10,24,119.86,30.2688,0.4883,998.4438,0,116.45,1,wait,20,0.582
m3-10,25,124.87,30.2562,0.2441,998.4446,0,116.69,1,wait,20,0.585
m3-10,26,129.86,30.2646,0.4883,998.5601,0,116.52,1,wait,20,0.581
m3-10,27,134.87,30.3021,0.2441,998.4893,0,116.71,1,wait,20,0.585
m3-10,28,139.88,30.2771,0.4883,998.3997,0,116.6,1,wait,20,0.584
m3-10,29,144.89,30.2333,0.2441,998.3862,0,116.8,1,wait,20,0.585
