lifetime,mean_aoi,peak_aoi,total_energy,tx_rate,pkt_success,stale_ratio,final_battery,policy,method,wE,seed
10.88,2.1142060000000003,4.4,100.98,0.9350660000000001,0.9350660000000001,0.009882,1.42,TQ-IoT-Cheb(wE=0.0),chebyshev,0.0,0.0
12.7,2.2371839999999996,4.72,102.12,0.7086000000000001,0.7086000000000001,0.013718,3.08,TQ-IoT-Cheb(wE=0.1),chebyshev,0.1,0.0
18.32,2.8947260000000004,6.56,103.9,0.40486400000000006,0.40486400000000006,0.012336,3.8,TQ-IoT-Cheb(wE=0.2),chebyshev,0.2,0.0
24.56,3.889072,8.84,102.28,0.20388,0.20388,0.0275,2.62,TQ-IoT-Cheb(wE=0.3),chebyshev,0.3,0.0
27.26,4.641472,10.68,101.72,0.171558,0.171558,0.047266,2.08,TQ-IoT-Cheb(wE=0.4),chebyshev,0.4,0.0
33.06,6.490813999999999,13.9,102.08,0.11077200000000001,0.11077200000000001,0.16323600000000002,2.62,TQ-IoT-Cheb(wE=0.5),chebyshev,0.5,0.0
43.7,9.623286,18.46,102.6,0.073604,0.073604,0.368118,2.9,TQ-IoT-Cheb(wE=0.6),chebyshev,0.6,0.0
48.24,16.338424,20.0,103.6,0.015316000000000003,0.015316000000000003,0.8072959999999999,3.6,TQ-IoT-Cheb(wE=0.7),chebyshev,0.7,0.0
85.68,17.998326,20.0,100.6,0.0014000000000000002,0.0014000000000000002,0.8946599999999999,0.6,TQ-IoT-Cheb(wE=0.8),chebyshev,0.8,0.0
98.48,18.263037999999998,20.0,100.48,0.0,0.0,0.9085659999999999,0.52,TQ-IoT-Cheb(wE=0.9),chebyshev,0.9,0.0
100.0,18.289999999999996,20.0,100.0,0.0,0.0,0.9099999999999998,0.0,TQ-IoT-Cheb(wE=1.0),chebyshev,1.0,0.0
11.12,2.137972,4.66,101.38,0.8511299999999999,0.8511299999999999,0.0075,1.62,TQ-IoT-Cheb(wE=0.0),chebyshev,0.0,1.0
13.64,2.25489,5.0,103.72,0.6769080000000001,0.6769080000000001,0.005881999999999999,4.88,TQ-IoT-Cheb(wE=0.1),chebyshev,0.1,1.0
18.62,2.6453480000000003,6.24,104.0,0.42563600000000007,0.42563600000000007,0.006886,5.1,TQ-IoT-Cheb(wE=0.2),chebyshev,0.2,1.0
