ts,node_id,rssi,time_s,channel_quality
1777281368.450851,m3-10,-91.0,-130.98,0
1777281369.450735,m3-10,-91.0,-129.98,0
1777281370.450741,m3-10,-91.0,-128.98,0
1777281371.450747,m3-10,-91.0,-127.98,0
1777281372.450753,m3-10,-91.0,-126.98,0
1777281373.45076,m3-10,-91.0,-125.98,0
1777281374.450766,m3-10,-91.0,-124.98,0
1777281375.450772,m3-10,-91.0,-123.98,0
1777281376.450748,m3-10,-91.0,-122.98,0
1777281377.450754,m3-10,-91.0,-121.98,0
1777281378.45076,m3-10,-91.0,-120.98,0
1777281379.450766,m3-10,-91.0,-119.98,0
1777281380.450742,m3-10,-91.0,-118.98,0
1777281381.450778,m3-10,-91.0,-117.98,0
1777281382.450785,m3-10,-91.0,-116.98,0
1777281383.45076,m3-10,-91.0,-115.98,0
1777281384.451011,m3-10,-91.0,-114.98,0
1777281385.451017,m3-10,-91.0,-113.98,0
1777281386.451023,m3-10,-91.0,-112.98,0
1777281387.451029,m3-10,-91.0,-111.98,0
1777281388.451035,m3-10,-91.0,-110.98,0
1777281389.451041,m3-10,-91.0,-109.98,0
1777281390.451048,m3-10,-91.0,-108.98,0
1777281391.451054,m3-10,-91.0,-107.98,0
1777281392.45106,m3-10,-91.0,-106.98,0
1777281393.451066,m3-10,-91.0,-105.98,0
1777281394.451072,m3-10,-91.0,-104.98,0
1777281395.451078,m3-10,-91.0,-103.98,0
1777281396.451084,m3-10,-91.0,-102.98,0
1777281397.451091,m3-10,-91.0,-101.98,0
1777281398.451097,m3-10,-91.0,-100.98,0
1777281399.451103,m3-10,-91.0,-99.98,0
1777281400.451109,m3-10,-91.0,-98.98,0
1777281401.451115,m3-10,-91.0,-97.98,0
1777281402.451121,m3-10,-91.0,-96.98,0
1777281403.451128,m3-10,-91.0,-95.98,0
1777281404.451134,m3-10,-91.0,-94.98,0
1777281405.45114,m3-10,-91.0,-93.98,0
1777281406.451146,m3-10,-91.0,-92.98,0
