lifetime,mean_aoi,median_aoi,max_aoi,total_energy,tx_attempts,successful_tx,pkt_success_rate,tx_rate,stale_ratio,final_battery,mean_rssi,poor_ch_ratio,medium_ch_ratio,good_ch_ratio,policy,method,wE,seed
11.0,2.8599999999999994,2.6,5.6,95.04,6.38,2.84,0.4364523809523809,0.58,0.0036363636363636364,4.96,-91.0,1.0,0.0,0.0,TQ-Cheb(wE=0.1),chebyshev,0.1,0
11.0,3.245454545454545,3.1,6.16,94.1,5.48,2.44,0.42883333333333334,0.4981818181818181,0.010909090909090908,5.9,-91.0,1.0,0.0,0.0,TQ-Cheb(wE=0.3),chebyshev,0.3,0
11.6,5.175151515151516,4.88,10.04,96.54,2.8,1.3,0.465,0.2409090909090909,0.048484848484848485,3.46,-91.0,1.0,0.0,0.0,TQ-Cheb(wE=0.5),chebyshev,0.5,0
11.88,5.770757575757576,5.57,10.54,96.56,2.2,1.02,0.355,0.18606060606060607,0.10575757575757574,3.44,-91.0,1.0,0.0,0.0,TQ-Cheb(wE=0.7),chebyshev,0.7,0
11.94,5.607424242424242,5.38,10.44,96.62,2.4,1.12,0.4133333333333333,0.20151515151515148,0.09166666666666666,3.38,-91.0,1.0,0.0,0.0,TQ-Cheb(wE=0.9),chebyshev,0.9,0
10.98,3.0990909090909096,2.89,5.7,95.44,6.7,2.86,0.4344682539682539,0.610909090909091,0.009272727272727273,4.56,-91.0,1.0,0.0,0.0,TQ-Cheb(wE=0.1),chebyshev,0.1,1
11.26,3.1546969696969693,2.99,5.94,95.48,5.46,2.44,0.4747142857142856,0.4892424242424242,0.010909090909090908,4.52,-91.0,1.0,0.0,0.0,TQ-Cheb(wE=0.3),chebyshev,0.3,1
11.54,4.252272727272728,4.01,7.74,95.86,3.5,1.62,0.4756666666666667,0.3084848484848485,0.04045454545454545,4.14,-91.0,1.0,0.0,0.0,TQ-Cheb(wE=0.5),chebyshev,0.5,1
11.92,6.90318181818182,6.94,11.54,95.94,0.86,0.42,0.19333333333333333,0.07393939393939393,0.20181818181818179,4.06,-91.0,1.0,0.0,0.0,TQ-Cheb(wE=0.7),chebyshev,0.7,1
12.0,7.015,7.08,11.64,95.42,0.74,0.36,0.19333333333333333,0.06166666666666666,0.21,4.58,-91.0,1.0,0.0,0.0,TQ-Cheb(wE=0.9),chebyshev,0.9,1
