policy,lifetime_mean,lifetime_std,lifetime_min,lifetime_max,mean_aoi_mean,mean_aoi_std,mean_aoi_min,mean_aoi_max,median_aoi_mean,median_aoi_std,median_aoi_min,median_aoi_max,max_aoi_mean,max_aoi_std,max_aoi_min,max_aoi_max,total_energy_mean,total_energy_std,total_energy_min,total_energy_max,tx_rate_mean,tx_rate_std,tx_rate_min,tx_rate_max,pkt_success_rate_mean,pkt_success_rate_std,pkt_success_rate_min,pkt_success_rate_max,stale_ratio_mean,stale_ratio_std,stale_ratio_min,stale_ratio_max,final_battery_mean,final_battery_std,final_battery_min,final_battery_max,mean_rssi_mean,mean_rssi_std,mean_rssi_min,mean_rssi_max,poor_ch_ratio_mean,poor_ch_ratio_std,poor_ch_ratio_min,poor_ch_ratio_max,good_ch_ratio_mean,good_ch_ratio_std,good_ch_ratio_min,good_ch_ratio_max
TQ-Cheb(wE=0.1),10.934,0.0633,10.84,11.0,2.5234,0.2783,2.1684,3.0991,2.264,0.2908,1.93,2.89,4.906,0.5059,4.28,5.7,96.948,1.0365,95.04,97.98,0.704,0.0702,0.58,0.7709,0.4515,0.0204,0.4213,0.4775,0.0013,0.003,0.0,0.0093,3.052,1.0365,2.02,4.96,-91.0,0.0,-91.0,-91.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
TQ-Cheb(wE=0.3),11.048,0.1059,10.94,11.26,3.0383,0.2879,2.6202,3.6473,2.838,0.285,2.49,3.44,5.876,0.5757,4.86,7.02,94.736,1.0569,92.72,96.5,0.5198,0.0758,0.3945,0.6164,0.4564,0.0238,0.4157,0.4872,0.0062,0.0049,0.0,0.0145,5.264,1.0569,3.5,7.28,-91.0,0.0,-91.0,-91.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
TQ-Cheb(wE=0.5),11.518,0.2143,11.1,11.76,4.3482,0.8995,3.1459,5.9511,4.186,0.8966,3.04,5.86,8.006,1.609,5.96,10.52,95.594,0.9912,93.22,96.54,0.3071,0.0897,0.1568,0.4892,0.4644,0.0484,0.3867,0.5675,0.0497,0.0404,0.0036,0.1315,4.406,0.9912,3.46,6.78,-91.0,0.0,-91.0,-91.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
TQ-Cheb(wE=0.7),11.826,0.3038,11.42,12.56,5.2779,1.2879,3.6953,7.369,5.143,1.3827,3.38,7.36,9.312,1.8598,7.04,12.24,95.906,1.0384,94.08,97.16,0.2123,0.1057,0.0426,0.3585,0.3554,0.1515,0.0667,0.5575,0.1087,0.0831,0.0073,0.2596,4.094,1.0384,2.84,5.92,-91.0,0.0,-91.0,-91.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
TQ-Cheb(wE=0.9),11.88,0.1864,11.42,12.08,5.5282,1.0836,3.7226,7.06,5.407,1.1971,3.4,7.08,9.71,1.4859,7.06,11.64,95.44,1.0612,93.94,97.04,0.1841,0.0922,0.0417,0.3152,0.3601,0.153,0.0667,0.5542,0.118,0.0689,0.0073,0.225,4.56,1.0612,2.96,6.06,-91.0,0.0,-91.0,-91.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
TQ-WSum(wE=0.1),10.914,0.2125,10.4,11.12,2.6635,0.2205,2.3309,2.99,2.382,0.2274,1.94,2.67,5.23,0.4591,4.52,5.92,96.77,0.996,95.14,98.44,0.7022,0.0801,0.6194,0.8727,0.4425,0.0215,0.414,0.4691,0.0022,0.0024,0.0,0.0073,3.23,0.996,1.56,4.86,-91.0,0.0,-91.0,-91.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
TQ-WSum(wE=0.3),11.04,0.0933,10.94,11.24,2.9549,0.1816,2.6382,3.2373,2.697,0.2066,2.28,2.94,5.698,0.3115,5.3,6.38,95.034,0.6884,93.76,95.96,0.5557,0.0764,0.4138,0.6745,0.4528,0.0302,0.411,0.5091,0.0054,0.0045,0.0,0.0109,4.966,0.6884,4.04,6.24,-91.0,0.0,-91.0,-91.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
TQ-WSum(wE=0.5),11.45,0.2775,11.0,11.86,3.5508,0.2613,3.14,3.9824,3.338,0.3404,2.84,3.99,6.724,0.3791,6.0,7.26,96.024,1.1681,94.2,97.9,0.3959,0.087,0.255,0.5691,0.4699,0.0336,0.409,0.5263,0.018,0.0114,0.0073,0.0367,3.976,1.1681,2.1,5.8,-91.0,0.0,-91.0,-91.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
TQ-WSum(wE=0.7),11.754,0.2568,11.34,12.0,4.6032,0.6423,3.925,5.6785,4.466,0.6836,3.63,5.55,8.33,1.0547,7.06,10.1,95.99,0.9103,94.66,97.14,0.2688,0.094,0.1758,0.4585,0.4495,0.071,0.322,0.5617,0.0628,0.0374,0.0202,0.11,4.01,0.9103,2.86,5.34,-91.0,0.0,-91.0,-91.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
TQ-WSum(wE=0.9),11.832,0.2275,11.38,12.0,5.3604,0.7586,4.5636,7.0833,5.259,0.833,4.47,7.15,9.464,0.9983,8.18,11.5,95.132,1.0546,93.6,97.12,0.1947,0.0856,0.0167,0.3347,0.399,0.1185,0.1,0.5333,0.1042,0.0499,0.0483,0.225,4.868,1.0546,2.88,6.4,-91.0,0.0,-91.0,-91.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
