lifetime,mean_aoi,median_aoi,max_aoi,total_energy,tx_attempts,successful_tx,pkt_success_rate,tx_rate,stale_ratio,final_battery,mean_rssi,poor_ch_ratio,medium_ch_ratio,good_ch_ratio,param,value,seed
6.0,3.05,3.025,4.55,45.9,2.2,0.9,0.4166666666666667,0.36666666666666664,0.0,4.1,-91.0,1.0,0.0,0.0,battery_cap,50.0,0
6.0,2.7250000000000005,2.775,4.15,47.85,2.35,1.15,0.6083333333333333,0.39166666666666666,0.0,2.15,-91.0,1.0,0.0,0.0,battery_cap,50.0,1
6.0,3.1333333333333333,3.15,4.6,46.6,1.6,0.7,0.35,0.26666666666666666,0.0,3.4,-91.0,1.0,0.0,0.0,battery_cap,50.0,2
11.25,3.6458333333333335,3.25,7.05,94.8,3.8,1.8,0.485,0.3412878787878787,0.02159090909090909,5.2,-91.0,1.0,0.0,0.0,battery_cap,100.0,0
12.0,4.625,4.575,7.9,95.25,2.2,1.15,0.6125,0.18333333333333332,0.025,4.75,-91.0,1.0,0.0,0.0,battery_cap,100.0,1
11.75,4.200378787878788,4.175,7.3,96.85,3.75,1.6,0.41,0.3223484848484848,0.0375,3.15,-91.0,1.0,0.0,0.0,battery_cap,100.0,2
17.8,7.673366013071896,7.275,15.1,147.7,3.05,1.4,0.4416666666666666,0.17238562091503268,0.3080065359477124,2.3,-91.0,1.0,0.0,0.0,battery_cap,150.0,0
17.55,4.176053491572067,3.875,8.5,146.85,5.25,2.5,0.560515873015873,0.3065918472652219,0.026470588235294117,3.15,-91.0,1.0,0.0,0.0,battery_cap,150.0,1
17.15,4.353451797385621,3.925,9.15,145.8,5.75,2.5,0.44652777777777775,0.3378063725490196,0.020424836601307193,4.2,-91.0,1.0,0.0,0.0,battery_cap,150.0,2
23.0,6.735457839262187,6.075,14.2,196.2,6.95,3.2,0.40684523809523804,0.3047513175230567,0.24800724637681162,3.8,-91.0,1.0,0.0,0.0,battery_cap,200.0,0
23.95,9.407264492753624,9.125,18.45,198.7,2.8,1.45,0.565,0.11815942028985507,0.4085797101449275,1.3,-91.0,1.0,0.0,0.0,battery_cap,200.0,1
23.6,10.744746376811595,10.725,18.45,197.85,2.25,0.75,0.22035714285714286,0.09682971014492754,0.4916666666666667,2.15,-91.0,1.0,0.0,0.0,battery_cap,200.0,2
15.95,2.968890056022409,2.55,6.55,96.25,8.7,4.1,0.4989403651903651,0.5393323996265172,0.01764705882352941,3.75,-91.0,1.0,0.0,0.0,cost_transmit,5.0,0
15.95,2.924509803921569,2.55,6.5,96.6,8.7,3.95,0.48405219780219777,0.5408782679738562,0.003125,3.4,-91.0,1.0,0.0,0.0,cost_transmit,5.0,1
14.95,3.6135645604395608,3.05,7.55,97.4,6.5,2.75,0.46132936507936506,0.42975274725274726,0.016041666666666666,2.6,-91.0,1.0,0.0,0.0,cost_transmit,5.0,2
12.35,3.4625,3.3,6.55,98.05,5.1,2.45,0.4644047619047619,0.4144230769230769,0.023076923076923078,1.95,-91.0,1.0,0.0,0.0,cost_transmit,8.0,0
12.4,4.4557692307692305,4.15,8.6,95.55,3.95,1.85,0.4713690476190475,0.31474358974358974,0.06474358974358974,4.45,-91.0,1.0,0.0,0.0,cost_transmit,8.0,1
12.9,3.513461538461539,3.225,6.45,98.3,6.2,2.6,0.41694444444444445,0.4788461538461539,0.027884615384615386,1.7,-91.0,1.0,0.0,0.0,cost_transmit,8.0,2
11.25,3.6458333333333335,3.25,7.05,94.8,3.8,1.8,0.485,0.3412878787878787,0.02159090909090909,5.2,-91.0,1.0,0.0,0.0,cost_transmit,10.0,0
12.0,4.625,4.575,7.9,95.25,2.2,1.15,0.6125,0.18333333333333332,0.025,4.75,-91.0,1.0,0.0,0.0,cost_transmit,10.0,1
11.75,4.200378787878788,4.175,7.3,96.85,3.75,1.6,0.41,0.3223484848484848,0.0375,3.15,-91.0,1.0,0.0,0.0,cost_transmit,10.0,2
10.75,4.891590909090909,4.6,8.65,93.2,1.7,0.7,0.425,0.1606818181818182,0.06363636363636363,6.8,-91.0,1.0,0.0,0.0,cost_transmit,15.0,0
11.15,4.679539627039627,4.7,7.95,96.85,1.75,1.1,0.4333333333333333,0.16689393939393937,0.09222027972027971,3.15,-91.0,1.0,0.0,0.0,cost_transmit,15.0,1
11.8,6.462121212121213,6.5,10.5,96.95,1.0,0.3,0.25,0.08636363636363635,0.17727272727272728,3.05,-91.0,1.0,0.0,0.0,cost_transmit,15.0,2
