node_id,step,time_s,temperature,luminosity,pressure,sensor_volatility,power_mw,rssi,channel_quality
m3-1,1,4.55,43.9271,248.5352,995.281,1,119.86,-91.0,2
m3-1,2,9.56,43.9542,248.291,995.2703,1,122.53,-91.0,2
m3-1,3,14.56,43.9875,249.0234,995.1555,2,120.35,-91.0,2
m3-1,4,19.57,43.9729,247.5586,995.2878,2,122.46,-91.0,2
m3-1,5,24.57,44.025,259.0332,995.1223,2,120.36,-91.0,2
m3-1,6,29.57,44.0,253.9062,995.2449,2,122.45,-91.0,2
m3-1,7,34.58,44.0354,252.6856,995.1948,1,120.27,-91.0,2
m3-1,8,39.58,44.0562,258.3008,995.2234,1,122.75,-91.0,2
m3-1,9,44.58,44.0479,252.4414,995.2773,1,120.18,-91.0,2
m3-1,10,49.59,44.0896,262.207,995.2573,1,122.67,-91.0,2
m3-1,11,54.6,44.1375,252.9297,995.1101,2,120.18,-91.0,2
m3-1,12,59.6,44.0792,252.6856,995.1751,1,122.69,-91.0,2
m3-1,13,64.6,44.1354,254.6387,995.1243,1,120.24,-91.0,2
m3-1,14,69.61,44.1167,253.1738,995.179,1,122.66,-91.0,2
m3-1,15,74.61,44.1479,255.6152,995.2158,1,120.16,-91.0,2
m3-1,16,79.62,44.1896,255.1269,995.2461,1,122.91,-91.0,2
m3-1,17,84.62,44.175,255.6152,995.2456,1,119.95,-91.0,2
m3-1,18,89.63,44.2083,256.1035,995.063,2,122.92,-91.0,2
m3-1,19,94.63,44.1833,266.1133,995.115,1,120.07,-91.0,2
m3-1,20,99.63,44.2083,257.0801,995.2446,2,122.84,-91.0,2
m3-1,21,104.64,44.2521,258.5449,995.155,2,120.11,-91.0,2
m3-1,22,109.64,44.2188,266.8457,995.187,1,122.85,-91.0,2
m3-1,23,114.65,44.2563,275.3906,995.1831,1,119.96,-91.0,2
m3-1,24,119.65,44.2667,265.1367,995.2463,1,123.08,-91.0,2
m3-1,25,124.69,44.2917,265.625,995.1836,1,119.86,-91.0,2
m3-1,26,129.66,44.2979,270.0195,995.2519,1,123.09,-91.0,2
m3-1,27,134.66,44.3354,273.6816,995.1956,1,119.82,-91.0,2
m3-1,28,139.67,44.3208,272.2168,995.1406,1,123.1,-91.0,2
m3-1,29,144.67,44.3312,273.6816,995.1741,1,119.86,-91.0,2
m3-1,30,149.68,44.3396,272.4609,995.0915,1,123.03,-91.0,2
m3-1,31,154.68,44.3375,271.4844,995.1335,1,119.9,-91.0,2
m3-1,32,159.68,44.3625,271.9727,995.1714,1,123.19,-91.0,2
m3-1,33,164.69,44.3771,272.7051,995.1892,1,119.57,-91.0,2
m3-1,34,169.69,44.3729,273.6816,995.2061,1,123.37,-91.0,2
m3-1,35,174.7,44.4417,273.9258,995.1213,1,119.6,-91.0,2
m3-1,36,179.7,44.4292,274.9023,995.104,1,123.36,-91.0,2
m3-1,37,184.71,44.4229,275.1465,995.1765,1,119.61,-91.0,2
m3-1,38,189.71,44.4646,276.123,995.1189,1,123.34,-91.0,2
m3-1,39,194.74,44.4354,275.3906,995.0981,1,119.46,-91.0,2
m3-1,40,199.72,44.4604,276.123,995.0344,1,123.57,-91.0,2
m3-1,41,204.72,44.4708,276.6113,995.0388,1,119.35,-91.0,2
m3-1,42,209.73,44.4771,278.0762,995.1284,1,123.61,-91.0,2
m3-1,43,214.73,44.4917,278.0762,995.2454,0,119.35,-91.0,2
m3-1,44,219.73,44.5271,279.0527,995.2178,1,123.61,-91.0,2
m3-1,45,224.74,44.5333,278.0762,995.1523,1,119.42,-91.0,2
m3-1,46,229.74,44.5333,279.0527,995.1912,1,123.52,-91.0,2
m3-1,47,234.75,44.5604,279.541,995.1609,1,119.46,-91.0,2
m3-1,48,239.75,44.5375,279.0527,995.1936,1,123.5,-91.0,2
m3-1,49,244.76,44.5812,279.2969,995.1209,1,119.36,-91.0,2
m3-1,50,249.76,44.5542,278.8086,995.1519,1,123.81,-91.0,2
m3-1,51,254.77,44.5854,278.5645,995.1094,1,119.26,-91.0,2
m3-1,52,259.77,44.5771,280.2734,995.1499,1,123.73,-91.0,2
m3-1,53,264.77,44.6042,279.2969,995.0723,1,119.28,-91.0,2
m3-1,54,269.78,44.5896,280.0293,995.1531,1,123.69,-91.0,2
m3-1,55,274.78,44.6021,280.2734,995.1606,1,119.26,-91.0,2
m3-1,56,279.79,44.6146,281.25,995.1882,1,123.69,-91.0,2
m3-1,57,284.79,44.6313,282.4707,995.1028,1,119.3,-91.0,2
m3-1,58,289.8,44.6458,282.7148,995.2046,1,123.76,-91.0,2
m3-1,59,294.8,44.6313,281.7383,995.2346,1,119.22,-91.0,2
m3-1,60,299.8,44.6417,281.9824,995.2624,1,123.8,-91.0,2
m3-1,61,304.81,44.6896,282.7148,995.1448,2,119.17,-91.0,2
m3-1,62,309.81,44.6729,282.959,995.0955,1,123.88,-91.0,2
m3-1,63,314.82,44.6604,283.4473,995.115,1,119.13,-91.0,2
m3-1,64,319.82,44.6729,282.959,995.1648,1,123.87,-91.0,2
m3-1,65,324.83,44.6521,282.2266,995.1013,1,119.34,-91.0,2
m3-1,66,329.83,44.7062,282.959,995.1738,1,123.58,-91.0,2
m3-1,67,334.83,44.7,284.1797,995.2329,1,119.37,-91.0,2
m3-1,68,339.84,44.75,284.668,995.1943,1,123.65,-91.0,2
m3-1,69,344.84,44.7375,283.2031,995.2141,1,119.31,-91.0,2
m3-1,70,349.85,44.7604,282.4707,995.2188,1,123.69,-91.0,2
m3-1,71,354.85,44.7437,281.9824,995.2488,1,119.34,-91.0,2
m3-1,72,359.86,44.7771,283.2031,995.23,1,123.72,-91.0,2
m3-1,73,364.86,44.7792,283.2031,995.1755,0,119.21,-91.0,2
m3-1,74,369.86,44.7729,282.4707,995.1514,1,123.81,-91.0,2
m3-1,75,374.87,44.7812,281.0059,995.1794,1,119.42,-91.0,2
m3-1,76,379.87,44.7917,279.7852,995.2441,1,123.5,-91.0,2
m3-1,77,384.87,44.8188,280.2734,995.1692,1,119.55,-91.0,2
m3-1,78,389.92,44.7938,279.0527,995.134,1,123.37,-91.0,2
m3-1,79,394.88,44.8208,277.5879,995.1638,1,119.62,-91.0,2
m3-1,80,399.89,44.8354,277.0996,995.1504,1,123.53,-91.0,2
m3-1,81,404.89,44.8333,275.8789,995.1338,1,119.53,-91.0,2
m3-1,82,409.94,44.8417,271.9727,995.2222,1,123.42,-91.0,2
m3-1,83,414.9,44.8729,268.3105,995.2849,1,119.82,-91.0,2
m3-1,84,419.9,44.8958,267.5781,995.1875,2,123.31,-91.0,2
m3-1,85,424.91,44.8625,267.334,995.1799,1,119.88,-91.0,2
m3-1,86,429.91,44.8833,267.334,995.1958,0,123.3,-91.0,2
m3-1,87,434.92,44.8917,268.7988,995.1687,1,119.89,-91.0,2
m3-1,88,439.92,44.8979,269.5312,995.1514,1,123.35,-91.0,2
m3-1,89,444.92,44.9104,272.4609,995.1431,1,119.78,-91.0,2
m3-1,90,449.93,44.9229,274.1699,995.2617,2,123.42,-91.0,2
m3-1,91,454.97,44.9188,273.6816,995.043,2,119.99,-91.0,2
m3-1,92,459.93,44.9208,274.1699,995.0515,1,123.24,-91.0,2
m3-1,93,464.94,44.9125,280.5176,995.1184,1,119.85,-91.0,2
m3-1,94,469.99,44.9146,281.0059,995.1401,1,123.14,-91.0,2
m3-1,95,474.95,44.925,280.5176,995.1843,1,119.94,-91.0,2
m3-1,96,479.95,44.9271,282.959,995.1392,1,123.18,-91.0,2
m3-1,97,484.96,44.9521,281.25,995.0791,1,119.93,-91.0,2
m3-1,98,489.96,44.9562,276.123,995.2239,2,123.22,-91.0,2
m3-1,99,494.97,44.975,273.9258,995.1802,1,119.94,-91.0,2
m3-1,100,499.97,44.9979,273.6816,995.2039,1,123.12,-91.0,2
m3-1,101,504.98,44.9854,272.9492,995.1499,1,120.21,-91.0,2
m3-1,102,509.98,44.9792,267.0898,995.0867,1,122.99,-91.0,2
m3-1,103,514.98,44.9979,265.3809,995.2481,2,120.29,-91.0,2
m3-1,104,519.99,44.9917,271.4844,995.1343,2,122.99,-91.0,2
m3-1,105,524.99,44.9896,273.4375,995.1689,1,120.22,-91.0,2
m3-1,106,530.0,44.9979,268.0664,995.1694,1,122.99,-91.0,2
m3-1,107,535.0,45.0146,259.0332,995.1338,1,120.24,-91.0,2
m3-1,108,540.0,45.0125,246.582,995.116,1,123.07,-91.0,2
m3-1,109,545.05,45.0396,234.1309,995.1821,1,120.54,-91.0,2
m3-1,110,550.01,45.0271,227.7832,995.0349,2,122.88,-91.0,2
m3-1,111,555.02,45.0167,231.9336,995.0723,1,120.7,-91.0,2
m3-1,112,560.02,45.025,238.5254,995.0676,1,122.89,-91.0,2
m3-1,113,565.02,45.0438,250.2441,995.1611,2,120.6,-91.0,2
m3-1,114,570.03,45.0604,263.916,995.1362,1,122.81,-91.0,2
m3-1,115,575.03,45.0688,273.9258,995.0757,1,120.47,-91.0,2
m3-1,116,580.04,45.0854,278.8086,995.1873,2,122.8,-91.0,2
m3-1,117,585.04,45.0792,281.7383,995.0737,2,120.35,-91.0,2
m3-1,118,590.04,45.0688,283.6914,995.1318,1,122.65,-91.0,2
m3-1,119,595.05,45.0729,284.4238,995.1628,1,120.59,-91.0,2
m3-1,120,600.06,45.0896,283.4473,995.0881,1,122.51,-91.0,2
m3-1,121,605.06,45.0708,281.9824,995.1025,1,120.61,-91.0,2
m3-1,122,610.06,45.1021,279.2969,995.1126,1,122.59,-91.0,2
m3-1,123,615.06,45.1104,281.0059,995.1038,1,120.55,-91.0,2
m3-1,124,620.07,45.1,281.0059,995.1245,0,122.64,-91.0,2
m3-1,125,625.07,45.1083,281.7383,995.1511,1,120.55,-91.0,2
m3-1,126,630.08,45.1375,281.4941,995.1355,1,122.46,-91.0,2
m3-1,127,635.08,45.125,278.3203,995.1484,1,120.84,-91.0,2
m3-1,128,640.09,45.1333,279.2969,995.1052,1,122.37,-91.0,2
m3-1,129,645.09,45.1458,288.8184,995.2915,2,120.83,-91.0,2
m3-1,130,650.1,45.1812,287.8418,995.2275,1,122.33,-91.0,2
m3-1,131,655.1,45.1812,287.3535,995.0112,2,120.82,-91.0,2
m3-1,132,660.1,45.1313,287.8418,995.0674,1,122.29,-91.0,2
m3-1,133,665.11,45.15,291.5039,995.1731,2,120.8,-91.0,2
m3-1,134,670.11,45.1958,291.9922,995.0432,2,122.31,-91.0,2
m3-1,135,675.12,45.1667,293.457,995.136,2,120.91,-91.0,2
m3-1,136,680.12,45.1854,295.4102,995.062,1,122.0,-91.0,2
m3-1,137,685.12,45.1688,295.4102,995.054,0,121.0,-91.0,2
m3-1,138,690.13,45.1688,296.1426,995.1594,2,122.0,-91.0,2
m3-1,139,695.17,45.2104,296.1426,995.21,0,121.18,-91.0,2
m3-1,140,700.14,45.225,294.9219,995.1585,1,121.91,-91.0,2
m3-1,141,705.14,45.2167,299.0723,995.1462,1,120.9,-91.0,2
m3-1,142,710.15,45.2062,295.166,995.1213,1,122.11,-91.0,2
m3-1,143,715.15,45.2167,286.6211,995.1475,1,120.91,-91.0,2
m3-1,144,720.15,45.2104,282.7148,995.145,1,122.23,-91.0,2
m3-1,145,725.16,45.225,268.5547,995.1128,1,121.08,-91.0,2
m3-1,146,730.16,45.225,266.3574,995.1611,1,122.08,-91.0,2
m3-1,147,735.17,45.2292,264.8926,995.0996,1,121.26,-91.0,2
m3-1,148,740.21,45.2229,262.4512,995.135,1,121.93,-91.0,2
m3-1,149,745.17,45.2333,273.1934,995.1443,1,121.4,-91.0,2
m3-1,150,750.18,45.2896,276.6113,995.1001,1,121.98,-91.0,2
m3-1,151,755.18,45.2563,269.2871,995.1321,1,121.25,-91.0,2
m3-1,152,760.23,45.2667,276.8555,995.1592,1,121.99,-91.0,2
m3-1,153,765.19,45.2646,282.2266,995.1106,1,121.4,-91.0,2
