battery_state,aoi_state,channel_quality,action,action_code,Q_energy,Q_freshness
crit(0-5),fresh(≤1),poor,transmit,2,0.0,-0.1782
crit(0-5),fresh(≤1),medium,sleep,0,0.0,0.0
crit(0-5),fresh(≤1),good,sleep,0,0.0,0.0
crit(0-5),ok(2-4),poor,transmit,2,0.0,-0.5679
crit(0-5),ok(2-4),medium,sleep,0,0.0,0.0
crit(0-5),ok(2-4),good,sleep,0,0.0,0.0
crit(0-5),aging(5-8),poor,sleep,0,-0.0977,-0.8008
crit(0-5),aging(5-8),medium,sleep,0,0.0,0.0
crit(0-5),aging(5-8),good,sleep,0,0.0,0.0
crit(0-5),stale(9-12),poor,sleep,0,-0.0914,-1.2742
crit(0-5),stale(9-12),medium,sleep,0,0.0,0.0
crit(0-5),stale(9-12),good,sleep,0,0.0,0.0
crit(0-5),old(>12),poor,wait,1,-0.2716,-2.9882
crit(0-5),old(>12),medium,sleep,0,0.0,0.0
crit(0-5),old(>12),good,sleep,0,0.0,0.0
low(5-20),fresh(≤1),poor,wait,1,-0.7675,-0.5099
low(5-20),fresh(≤1),medium,sleep,0,0.0,0.0
low(5-20),fresh(≤1),good,sleep,0,0.0,0.0
low(5-20),ok(2-4),poor,wait,1,-0.5121,-0.603
low(5-20),ok(2-4),medium,sleep,0,0.0,0.0
low(5-20),ok(2-4),good,sleep,0,0.0,0.0
low(5-20),aging(5-8),poor,sleep,0,-0.7001,-1.0243
low(5-20),aging(5-8),medium,sleep,0,0.0,0.0
low(5-20),aging(5-8),good,sleep,0,0.0,0.0
low(5-20),stale(9-12),poor,transmit,2,-1.1334,-0.8817
low(5-20),stale(9-12),medium,sleep,0,0.0,0.0
low(5-20),stale(9-12),good,sleep,0,0.0,0.0
low(5-20),old(>12),poor,transmit,2,-1.1373,-2.1609
low(5-20),old(>12),medium,sleep,0,0.0,0.0
low(5-20),old(>12),good,sleep,0,0.0,0.0
med-lo(20-40),fresh(≤1),poor,sleep,0,-1.0561,-0.5556
med-lo(20-40),fresh(≤1),medium,sleep,0,0.0,0.0
med-lo(20-40),fresh(≤1),good,sleep,0,0.0,0.0
med-lo(20-40),ok(2-4),poor,wait,1,-1.2531,-0.692
med-lo(20-40),ok(2-4),medium,sleep,0,0.0,0.0
med-lo(20-40),ok(2-4),good,sleep,0,0.0,0.0
med-lo(20-40),aging(5-8),poor,wait,1,-1.2541,-1.1215
med-lo(20-40),aging(5-8),medium,sleep,0,0.0,0.0
med-lo(20-40),aging(5-8),good,sleep,0,0.0,0.0
med-lo(20-40),stale(9-12),poor,wait,1,-1.3996,-1.4619
med-lo(20-40),stale(9-12),medium,sleep,0,0.0,0.0
med-lo(20-40),stale(9-12),good,sleep,0,0.0,0.0
med-lo(20-40),old(>12),poor,transmit,2,-1.9327,-1.7231
med-lo(20-40),old(>12),medium,sleep,0,0.0,0.0
med-lo(20-40),old(>12),good,sleep,0,0.0,0.0
medium(40-60),fresh(≤1),poor,sleep,0,-1.1206,-0.7893
medium(40-60),fresh(≤1),medium,sleep,0,0.0,0.0
medium(40-60),fresh(≤1),good,sleep,0,0.0,0.0
medium(40-60),ok(2-4),poor,sleep,0,-1.1741,-0.9719
medium(40-60),ok(2-4),medium,sleep,0,0.0,0.0
medium(40-60),ok(2-4),good,sleep,0,0.0,0.0
medium(40-60),aging(5-8),poor,wait,1,-1.3756,-1.3855
medium(40-60),aging(5-8),medium,sleep,0,0.0,0.0
medium(40-60),aging(5-8),good,sleep,0,0.0,0.0
medium(40-60),stale(9-12),poor,transmit,2,-2.0494,-1.2307
medium(40-60),stale(9-12),medium,sleep,0,0.0,0.0
medium(40-60),stale(9-12),good,sleep,0,0.0,0.0
medium(40-60),old(>12),poor,transmit,2,-2.1657,-1.8674
medium(40-60),old(>12),medium,sleep,0,0.0,0.0
medium(40-60),old(>12),good,sleep,0,0.0,0.0
med-hi(60-80),fresh(≤1),poor,sleep,0,-1.2095,-0.7757
med-hi(60-80),fresh(≤1),medium,sleep,0,0.0,0.0
med-hi(60-80),fresh(≤1),good,sleep,0,0.0,0.0
med-hi(60-80),ok(2-4),poor,wait,1,-1.4676,-1.0041
med-hi(60-80),ok(2-4),medium,sleep,0,0.0,0.0
med-hi(60-80),ok(2-4),good,sleep,0,0.0,0.0
med-hi(60-80),aging(5-8),poor,sleep,0,-1.4029,-1.3959
med-hi(60-80),aging(5-8),medium,sleep,0,0.0,0.0
med-hi(60-80),aging(5-8),good,sleep,0,0.0,0.0
med-hi(60-80),stale(9-12),poor,wait,1,-1.7834,-2.1011
med-hi(60-80),stale(9-12),medium,sleep,0,0.0,0.0
med-hi(60-80),stale(9-12),good,sleep,0,0.0,0.0
med-hi(60-80),old(>12),poor,transmit,2,-2.232,-1.7173
med-hi(60-80),old(>12),medium,sleep,0,0.0,0.0
med-hi(60-80),old(>12),good,sleep,0,0.0,0.0
high(80+),fresh(≤1),poor,wait,1,-1.5715,-0.8753
high(80+),fresh(≤1),medium,sleep,0,0.0,0.0
high(80+),fresh(≤1),good,sleep,0,0.0,0.0
high(80+),ok(2-4),poor,sleep,0,-1.4532,-1.2119
