lifetime,mean_aoi,max_aoi,total_energy,tx_rate,pkt_success_rate,stale_ratio,final_battery,policy,method,wE,seed,exp_id
14.35,1.4386671110751994,2.35,94.0,0.5685778926955397,0.9517361111111111,0.0,6.0,RL(wE=0.1),rl,0.1,0,437885
28.35,3.7253809064292938,8.325,94.025,0.1479927658959917,0.9800000000000001,0.0,5.975,RL(wE=0.3),rl,0.3,0,437885
37.2,6.098995843094141,13.075,96.225,0.08366325703787005,0.975,0.16376829254151234,3.775,RL(wE=0.5),rl,0.5,0,437885
52.45,12.942961719405655,20.0,96.75,0.025382938277113166,0.875,0.6192728978192892,3.25,RL(wE=0.7),rl,0.7,0,437885
79.3,17.84217910477057,20.0,95.5,0.0,0.0,0.8864304791984509,4.5,RL(wE=0.9),rl,0.9,0,437885
13.375,1.338186813186813,2.2,97.25,0.6615384615384615,0.9493055555555555,0.0,2.75,RL(wE=0.1),rl,0.1,1,437885
28.3,3.7410785666975874,8.95,95.575,0.18332045076622386,0.9508333333333333,0.001,4.425,RL(wE=0.3),rl,0.3,1,437885
34.625,6.021702157777526,13.025,95.95,0.0868574607361372,0.9583333333333333,0.13514426214793862,4.05,RL(wE=0.5),rl,0.5,1,437885
50.325,15.968412963091216,20.0,96.425,0.006015778350884733,0.275,0.7849462921555619,3.575,RL(wE=0.7),rl,0.7,1,437885
89.8,18.094401427061314,20.0,95.0,0.0,0.0,0.8997053382663847,5.0,RL(wE=0.9),rl,0.9,1,437885
13.575,1.4135347985347984,2.4,93.725,0.5915750915750916,0.925,0.0,6.275,RL(wE=0.1),rl,0.1,2,437885
25.95,3.19685693714498,7.1,95.0,0.2020264749340836,0.9283333333333333,0.0,5.0,RL(wE=0.3),rl,0.3,2,437885
46.55,6.7686255130525605,13.55,97.0,0.07066515978820764,0.95625,0.1922966707871379,3.0,RL(wE=0.5),rl,0.5,2,437885
51.3,14.86519660171761,20.0,99.1,0.009602140451322228,0.5,0.7282372333548803,0.9,RL(wE=0.7),rl,0.7,2,437885
90.6,18.11035881030797,20.0,95.0,0.0,0.0,0.9005452005425247,5.0,RL(wE=0.9),rl,0.9,2,437885
15.25,1.5372068392134182,2.6,94.175,0.5402859713386029,0.961111111111111,0.0,5.825,RL(wE=0.1),rl,0.1,3,437885
28.325,3.4236340291688023,7.55,95.8,0.1690680208607737,0.9666666666666668,0.0,4.2,RL(wE=0.3),rl,0.3,3,437885
40.325,6.2004131803522045,12.875,95.9,0.07796597268355933,0.96875,0.1398561564968818,4.1,RL(wE=0.5),rl,0.5,3,437885
53.3,13.72048951048951,20.0,99.7,0.017272727272727273,0.8,0.6599300699300699,0.3,RL(wE=0.7),rl,0.7,3,437885
87.8,18.05042544620074,20.0,95.2,0.0,0.0,0.8973908129579335,4.8,RL(wE=0.9),rl,0.9,3,437885
14.625,1.4106604853479854,2.2,97.525,0.5679395604395604,0.9725694444444445,0.0,2.475,RL(wE=0.1),rl,0.1,4,437885
